,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
19,2021-05-25,1587.1909223953435,1564.8764476255683,1610.3480221901584,1587.1909223953435,1587.1909223953435,-0.006799968064846103,-0.006799968064846103,-0.006799968064846103,-0.006799968064846103,-0.006799968064846103,-0.006799968064846103,0.0,0.0,0.0,1587.1841224272787
20,2021-05-27,1589.1880905636199,1567.46329519732,1614.5147021697517,1589.1880905636199,1589.1880905636199,2.4698771311783148,2.4698771311783148,2.4698771311783148,2.4698771311783148,2.4698771311783148,2.4698771311783148,0.0,0.0,0.0,1591.6579676947981
21,2021-05-28,1590.1866746477579,1568.410592451468,1612.729823551015,1590.1866746477579,1590.1866746477579,0.4880482951895475,0.4880482951895475,0.4880482951895475,0.4880482951895475,0.4880482951895475,0.4880482951895475,0.0,0.0,0.0,1590.6747229429475
22,2021-05-31,1593.1824269001725,1568.6876996895708,1612.577140592247,1593.1824269001725,1593.1824269001725,-2.4073685012793944,-2.4073685012793944,-2.4073685012793944,-2.4073685012793944,-2.4073685012793944,-2.4073685012793944,0.0,0.0,0.0,1590.775058398893
23,2021-06-01,1594.1810109843104,1573.1242853662475,1617.083093024841,1594.1810109843104,1594.1810109843104,-0.0067999680740184485,-0.0067999680740184485,-0.0067999680740184485,-0.0067999680740184485,-0.0067999680740184485,-0.0067999680740184485,0.0,0.0,0.0,1594.1742110162363
24,2021-06-02,1595.179595008704,1575.1929098995981,1619.8853770099695,1595.179595008704,1595.179595008704,1.9758391050314639,1.9758391050314639,1.9758391050314639,1.9758391050314639,1.9758391050314639,1.9758391050314639,0.0,0.0,0.0,1597.1554341137353
25,2021-06-04,1597.1767630574902,1575.2653900204534,1621.1370430852892,1597.1767630574902,1597.1767630574902,0.48804829519171766,0.48804829519171766,0.48804829519171766,0.48804829519171766,0.48804829519171766,0.48804829519171766,0.0,0.0,0.0,1597.664811352682
26,2021-06-07,1600.17251513067,1572.6549567258076,1620.3951686930973,1600.17251513067,1600.17251513067,-2.4073685012790795,-2.4073685012790795,-2.4073685012790795,-2.4073685012790795,-2.4073685012790795,-2.4073685012790795,0.0,0.0,0.0,1597.765146629391
27,2021-06-08,1601.1710991550633,1578.1589544637425,1624.5554544234533,1601.1710991550633,1601.1710991550633,-0.006799968072382309,-0.006799968072382309,-0.006799968072382309,-0.006799968072382309,-0.006799968072382309,-0.006799968072382309,0.0,0.0,0.0,1601.164299186991
28,2021-06-09,1602.1696831794566,1582.5603092370754,1626.3907529397438,1602.1696831794566,1602.1696831794566,1.9758391050308899,1.9758391050308899,1.9758391050308899,1.9758391050308899,1.9758391050308899,1.9758391050308899,0.0,0.0,0.0,1604.1455222844875
29,2021-06-10,1603.1682672038498,1582.0739189677267,1629.0952424448553,1603.1682672038498,1603.1682672038498,2.4698771311748655,2.4698771311748655,2.4698771311748655,2.4698771311748655,2.4698771311748655,2.4698771311748655,0.0,0.0,0.0,1605.6381443350247
30,2021-06-11,1604.166851228243,1582.2889991917455,1628.4442469740109,1604.166851228243,1604.166851228243,0.48804829518794696,0.48804829518794696,0.48804829518794696,0.48804829518794696,0.48804829518794696,0.48804829518794696,0.0,0.0,0.0,1604.6548995234311
31,2021-06-14,1607.162603301423,1581.4481458505306,1629.3498318557688,1607.162603301423,1607.162603301423,-2.407368501278765,-2.407368501278765,-2.407368501278765,-2.407368501278765,-2.407368501278765,-2.407368501278765,0.0,0.0,0.0,1604.755234800144
32,2021-06-15,1605.873619472137,1585.4280810971916,1628.4118124947486,1605.873619472137,1605.873619472137,-0.006799968070746263,-0.006799968070746263,-0.006799968070746263,-0.006799968070746263,-0.006799968070746263,-0.006799968070746263,0.0,0.0,0.0,1605.8668195040664
33,2021-06-16,1604.5846356428513,1583.4354395014423,1628.3454359791397,1604.5846356428513,1604.5846356428513,1.975839105030316,1.975839105030316,1.975839105030316,1.975839105030316,1.975839105030316,1.975839105030316,0.0,0.0,0.0,1606.5604747478815
34,2021-06-17,1603.2956518135654,1582.7727920887357,1628.3478974139437,1603.2956518135654,1603.2956518135654,2.469877131181873,2.469877131181873,2.469877131181873,2.469877131181873,2.469877131181873,2.469877131181873,0.0,0.0,0.0,1605.7655289447473
35,2021-06-18,1602.0066679842798,1579.248614088887,1626.1306954787947,1602.0066679842798,1602.0066679842798,0.4880482951952776,0.4880482951952776,0.4880482951952776,0.4880482951952776,0.4880482951952776,0.4880482951952776,0.0,0.0,0.0,1602.4947162794751
36,2021-06-21,1598.1397164964224,1572.03615632501,1618.487955696624,1598.1397164964224,1598.1397164964224,-2.4073685012784516,-2.4073685012784516,-2.4073685012784516,-2.4073685012784516,-2.4073685012784516,-2.4073685012784516,0.0,0.0,0.0,1595.732347995144
37,2021-06-22,1596.8507326671365,1574.6645451328973,1617.787651926854,1596.8507326671365,1596.8507326671365,-0.006799968078484653,-0.006799968078484653,-0.006799968078484653,-0.006799968078484653,-0.006799968078484653,-0.006799968078484653,0.0,0.0,0.0,1596.843932699058
38,2021-06-23,1595.561748837851,1574.8620119488955,1619.4083573253138,1595.561748837851,1595.561748837851,1.9758391050346862,1.9758391050346862,1.9758391050346862,1.9758391050346862,1.9758391050346862,1.9758391050346862,0.0,0.0,0.0,1597.5375879428857
39,2021-06-24,1593.9116255334616,1572.3260850547595,1619.7604684106823,1593.9116255334616,1593.9116255334616,2.469877131180148,2.469877131180148,2.469877131180148,2.469877131180148,2.469877131180148,2.469877131180148,0.0,0.0,0.0,1596.3815026646416
40,2021-06-25,1592.2615022290722,1570.4705465212828,1616.1959922797994,1592.2615022290722,1592.2615022290722,0.4880482951944777,0.4880482951944777,0.4880482951944777,0.4880482951944777,0.4880482951944777,0.4880482951944777,0.0,0.0,0.0,1592.7495505242666
41,2021-06-28,1587.3111323159042,1561.1284900939174,1607.2661228769152,1587.3111323159042,1587.3111323159042,-2.40736850127984,-2.40736850127984,-2.40736850127984,-2.40736850127984,-2.40736850127984,-2.40736850127984,0.0,0.0,0.0,1584.9037638146244
42,2021-06-29,1585.6610090115148,1564.6710283491486,1608.7841548428603,1585.6610090115148,1585.6610090115148,-0.0067999680782827015,-0.0067999680782827015,-0.0067999680782827015,-0.0067999680782827015,-0.0067999680782827015,-0.0067999680782827015,0.0,0.0,0.0,1585.6542090434366
43,2021-06-30,1584.0108857071255,1563.1469832682556,1608.7507656649038,1584.0108857071255,1584.0108857071255,1.9758391050341122,1.9758391050341122,1.9758391050341122,1.9758391050341122,1.9758391050341122,1.9758391050341122,0.0,0.0,0.0,1585.9867248121595
44,2021-07-01,1582.360762402736,1562.5151844845782,1606.885177898305,1582.360762402736,1582.360762402736,2.4698771311784236,2.4698771311784236,2.4698771311784236,2.4698771311784236,2.4698771311784236,2.4698771311784236,0.0,0.0,0.0,1584.8306395339146
45,2021-07-02,1580.7106390983467,1558.6097432958077,1602.5935381636555,1580.7106390983467,1580.7106390983467,0.4880482951936774,0.4880482951936774,0.4880482951936774,0.4880482951936774,0.4880482951936774,0.4880482951936774,0.0,0.0,0.0,1581.1986873935405
46,2021-07-05,1575.7602691851787,1549.611972474891,1596.3725428942473,1575.7602691851787,1575.7602691851787,-2.4073685012795254,-2.4073685012795254,-2.4073685012795254,-2.4073685012795254,-2.4073685012795254,-2.4073685012795254,0.0,0.0,0.0,1573.3529006838992
47,2021-07-06,1574.110145839884,1551.7582813179781,1595.8741730605,1574.110145839884,1574.110145839884,-0.006799968075212467,-0.006799968075212467,-0.006799968075212467,-0.006799968075212467,-0.006799968075212467,-0.006799968075212467,0.0,0.0,0.0,1574.1033458718086
48,2021-07-07,1572.4600224945887,1551.754584410561,1594.7896716719504,1572.4600224945887,1572.4600224945887,1.9758391050360105,1.9758391050360105,1.9758391050360105,1.9758391050360105,1.9758391050360105,1.9758391050360105,0.0,0.0,0.0,1574.4358615996246
49,2021-07-08,1570.8098991492934,1549.3833807160754,1595.4973429200325,1570.8098991492934,1570.8098991492934,2.469877131176699,2.469877131176699,2.469877131176699,2.469877131176699,2.469877131176699,2.469877131176699,0.0,0.0,0.0,1573.27977628047
50,2021-07-09,1569.1597758039984,1546.036584977365,1591.426497226499,1569.1597758039984,1569.1597758039984,0.48804829518990667,0.48804829518990667,0.48804829518990667,0.48804829518990667,0.48804829518990667,0.48804829518990667,0.0,0.0,0.0,1569.6478240991883
51,2021-07-12,1564.2094057681131,1538.5397876845548,1582.880938029769,1564.2094057681131,1564.2094057681131,-2.407368501279211,-2.407368501279211,-2.407368501279211,-2.407368501279211,-2.407368501279211,-2.407368501279211,0.0,0.0,0.0,1561.8020372668338
52,2021-07-13,1562.5592824228181,1540.8901270319727,1585.8621603600159,1562.5592824228181,1562.5592824228181,-0.006799968073576374,-0.006799968073576374,-0.006799968073576374,-0.006799968073576374,-0.006799968073576374,-0.006799968073576374,0.0,0.0,0.0,1562.5524824547444
53,2021-07-14,1560.909159077523,1540.8874239442232,1584.0247498806364,1560.909159077523,1560.909159077523,1.9758391050305537,1.9758391050305537,1.9758391050305537,1.9758391050305537,1.9758391050305537,1.9758391050305537,0.0,0.0,0.0,1562.8849981825535
54,2021-07-15,1559.259035732228,1538.508648624112,1582.637795099825,1559.259035732228,1559.259035732228,2.469877131183706,2.469877131183706,2.469877131183706,2.469877131183706,2.469877131183706,2.469877131183706,0.0,0.0,0.0,1561.7289128634118
55,2021-07-16,1557.6089125620797,1534.482976610084,1579.7354408783692,1557.6089125620797,1557.6089125620797,0.4880482951920768,0.4880482951920768,0.4880482951920768,0.4880482951920768,0.4880482951920768,0.4880482951920768,0.0,0.0,0.0,1558.0969608572718
