Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,1551.260010,1552.380005,1530.619995,1538.859985,1538.859985,8512300
2021-07-21,1543.170044,1545.390015,1532.339966,1540.880005,1540.880005,5934600
2021-07-22,1549.849976,1554.650024,1546.260010,1552.359985,1552.359985,6264000
2021-07-23,1550.859985,1553.250000,1540.349976,1545.099976,1545.099976,7420000
2021-07-27,1547.400024,1551.430054,1531.810059,1537.630005,1537.630005,8034200
2021-07-29,1541.800049,1545.079956,1533.939941,1537.780029,1537.780029,8741800
2021-07-30,1536.910034,1539.030029,1516.770020,1521.920044,1521.920044,8477600
2021-08-02,1523.420044,1525.729980,1513.709961,1525.109985,1525.109985,6102000
2021-08-03,1525.239990,1540.520020,1524.369995,1540.510010,1540.510010,6171100
2021-08-04,1542.109985,1548.630005,1533.359985,1545.859985,1545.859985,6378900
2021-08-05,1544.829956,1547.380005,1526.910034,1527.660034,1527.660034,10398600
2021-08-06,1530.430054,1537.270020,1514.670044,1521.719971,1521.719971,7711900
2021-08-09,1528.160034,1543.709961,1525.290039,1540.189941,1540.189941,7281900
2021-08-10,1544.310059,1551.609985,1539.400024,1542.619995,1542.619995,9092600
2021-08-11,1549.410034,1550.739990,1531.579956,1532.709961,1532.709961,9601600
2021-08-13,1530.680054,1541.079956,1525.510010,1528.319946,1528.319946,9130300
2021-08-16,1527.079956,1532.939941,1512.280029,1531.239990,1531.239990,7756900
2021-08-17,1536.939941,1545.949951,1533.319946,1544.219971,1544.219971,6373500
2021-08-18,1546.709961,1557.079956,1545.329956,1551.869995,1551.869995,7470100
2021-08-19,1546.699951,1553.900024,1543.750000,1544.280029,1544.280029,8691500
2021-08-20,1549.920044,1554.449951,1545.920044,1553.180054,1553.180054,9187300
2021-08-23,1566.099976,1583.130005,1565.930054,1582.069946,1582.069946,10366800
2021-08-24,1590.119995,1598.390015,1585.459961,1586.979980,1586.979980,9388300
2021-08-25,1591.290039,1601.089966,1588.369995,1600.489990,1600.489990,9269000
2021-08-26,1601.989990,1603.989990,1595.689941,1601.910034,1601.910034,11321400
2021-08-27,1602.160034,1615.219971,1600.000000,1611.199951,1611.199951,10413700
2021-08-30,1621.680054,1634.920044,1621.420044,1633.770020,1633.770020,11606900
2021-08-31,1632.650024,1643.760010,1628.119995,1638.750000,1638.750000,11805400
2021-09-01,1643.010010,1646.069946,1628.160034,1634.479980,1634.479980,15016600
2021-09-02,1634.250000,1652.030029,1633.119995,1647.750000,1647.750000,12572400
2021-09-03,1654.000000,1657.790039,1644.119995,1650.329956,1650.329956,13519400
2021-09-06,1652.329956,1655.040039,1644.560059,1648.369995,1648.369995,17453600
2021-09-07,1653.670044,1658.079956,1635.109985,1636.449951,1636.449951,17815400
2021-09-08,1632.180054,1641.290039,1627.170044,1640.449951,1640.449951,16254200
2021-09-09,1637.650024,1646.069946,1626.949951,1629.119995,1629.119995,15780100
2021-09-10,1633.099976,1639.650024,1620.579956,1635.349976,1635.349976,13847400
2021-09-13,1634.430054,1642.630005,1627.290039,1633.760010,1633.760010,20187900
2021-09-14,1639.900024,1640.400024,1621.959961,1623.839966,1623.839966,13400300
2021-09-15,1624.170044,1630.050049,1620.839966,1628.040039,1628.040039,10532900
2021-09-16,1633.280029,1636.010010,1628.569946,1631.699951,1631.699951,11034400
2021-09-17,1632.180054,1635.040039,1617.310059,1625.650024,1625.650024,12874300
2021-09-20,1617.439941,1620.719971,1601.160034,1603.060059,1603.060059,13860500
2021-09-21,1604.640015,1618.189941,1591.810059,1614.859985,1614.859985,11752500
2021-09-22,1614.739990,1623.859985,1611.760010,1619.589966,1619.589966,17194800
2021-09-23,1632.920044,1637.650024,1623.000000,1631.150024,1631.150024,19815000
2021-09-27,1637.300049,1639.969971,1616.599976,1620.020020,1620.020020,19432900
2021-09-28,1623.880005,1626.550049,1614.310059,1616.500000,1616.500000,17164300
2021-09-29,1605.189941,1622.619995,1604.459961,1616.979980,1616.979980,10072700
2021-09-30,1616.989990,1621.150024,1601.790039,1605.680054,1605.680054,12339900
2021-10-01,1600.589966,1609.479980,1593.319946,1605.170044,1605.170044,9922700
2021-10-04,1611.689941,1619.619995,1610.959961,1614.479980,1614.479980,8128400
2021-10-05,1612.500000,1626.439941,1611.420044,1624.239990,1624.239990,9875700
2021-10-06,1626.650024,1631.810059,1617.239990,1619.479980,1619.479980,13212400
